date,historical_demand,port_congestion_level,shipping_costs,delay_probability,weather_condition_severity
2021-01-01,6087.738443575557,6.050231728410163,400.0389481166191,0.6590139073207577,0.48558884833431565
2021-01-02,7514.016378700799,5.507312535701227,565.6353879487974,0.7387761583567044,0.48863359771013487
2021-01-03,6291.804184483893,6.99345136051049,487.5339878213815,0.7273365878010486,0.4948530004449277
2021-01-04,5355.534489155517,6.2064405386726795,343.1791542735012,0.7311746820743225,0.5273646163760167
2021-01-05,6492.383312944069,7.805845677270319,382.97404507135565,0.5682788781593082,0.5013930240694449
2021-01-06,5466.368149099696,6.882337270885003,474.56958163153644,0.6871736331175518,0.5359517848026586
2021-01-07,6175.273027560158,7.483801929864174,375.522982402083,0.7852607555460414,0.4923170162290799
2021-01-08,6964.903432011891,7.157577255482067,576.0898281667845,0.6800712716162761,0.48785813191225674
2021-01-09,5849.562652849277,7.825718122828108,469.60981917055864,0.6932239117762068,0.5034357503786241
2021-01-10,5715.208541149567,7.724113619498625,450.7302085031128,0.6816887382480026,0.48164101586710023
2021-01-11,6590.944887236594,7.015037419545487,504.15647842928587,0.6894694140967669,0.5326776360714501
2021-01-12,5726.776864967189,6.284840054113602,459.5590054551862,0.7640961495480915,0.5217637080061287
2021-01-13,5747.904750342652,6.3603223792042884,427.1520733719433,0.7302593936775993,0.5847263346322786
2021-01-14,5791.060750386713,7.572432462589984,415.9051748455029,0.7202106233452966,0.47457939310077984
2021-01-15,5289.147588755916,7.358925502362232,470.8865923142182,0.6749745838576677,0.5273597078975923
2021-01-16,7644.811831950586,7.519612137744591,448.34502626235485,0.6462270855549607,0.5255107870416108
2021-01-17,6188.622939047856,8.110177070263328,381.3240822889972,0.7709576741657198,0.47182084501672983
2021-01-18,6322.523926363592,6.97822359035504,497.9909399544345,0.8057689220295358,0.5335250347893427
2021-01-19,7387.795000331869,7.069113790904421,532.0061419944856,0.740329098085932,0.4721484732028098
2021-01-20,5891.080150381986,6.347670169343584,455.8799075810182,0.7846853949611569,0.48179563800778924
2021-01-21,6932.543877455624,6.43200311043521,450.68501507872816,0.6682932127488286,0.4659698473096441
2021-01-22,6184.76408438091,7.279628950871486,416.29180166136535,0.6962604741490295,0.5012533270212011
2021-01-23,5698.47439191628,6.553058517216997,414.0244067132785,0.7077654038025057,0.44995245147325297
2021-01-24,6890.846493707938,8.72699555325591,374.7963136579488,0.7373409662921192,0.5937177849373984
2021-01-25,6598.196051872715,8.085537384896782,519.7280578384806,0.8358322717973169,0.458213421856172
2021-01-26,5745.479109663204,6.474734012894959,550.6455572214705,0.6854434653446955,0.5092255210675567
2021-01-27,5584.706289313115,6.676547204331378,468.6198951445555,0.6750791554853371,0.37942817786860883
2021-01-28,6363.856804795487,7.918322699780375,444.24209966686317,0.7839066334799233,0.503948887987954
2021-01-29,6259.38327638372,7.509725167348823,263.6128435888787,0.7436374665719039,0.4502775747295431
2021-01-30,7064.769705792462,7.0398702825967865,432.10557596780467,0.737564024828421,0.5661176093474634
2021-01-31,6826.144322470765,7.442358897504309,574.5925336065316,0.6806626939702608,0.39807148413469684
2021-02-01,6178.294618461091,6.879628554621924,461.4672839235362,0.7767698303032108,0.46064508045493735
2021-02-02,6813.593751955871,7.750851479920865,415.71778578264525,0.7579536544329418,0.4734198715476335
2021-02-03,6345.163733175016,7.611744174016099,448.7796387687626,0.6450388253611081,0.49596354013463956
2021-02-04,5848.442843186625,6.2185808855031155,460.4086830582665,0.8095365150342609,0.3190101532179676
2021-02-05,5947.301896244375,7.384715333689816,440.22796068207026,0.7677175547932159,0.594080439481414
2021-02-06,7426.970575538748,7.283667013595566,470.82549732587245,0.7295177861792251,0.4575885345646125
2021-02-07,6190.174916922314,6.357628105272236,462.660522388413,0.7246097042622136,0.4715935112647261
2021-02-08,6316.103553374422,6.555323822232892,451.4174791316504,0.729670978651055,0.4751148976739663
2021-02-09,5558.300212349967,7.99830655456411,555.8384257285508,0.7006288111589186,0.4543473018344893
2021-02-10,7592.567226468898,6.778390319268056,467.55922981141913,0.6955493965936097,0.49849986367028937
2021-02-11,6236.125115990649,7.278044111405109,554.6900482220116,0.7533376619881819,0.4684653585676027
