weather_condition_severity,port_congestion_level,delay_probability,handling_equipment_availability,warehouse_inventory_level,loading_unloading_time_hours,food_share,pharma_share,electronics_share,other_share,position_accuracy_m,port_calls,throughput_containers,date,year,month,day,day_of_week,day_of_year
0.40900000000000003,2.345625,0.646,0.8605,537.6708333333333,2.8346666666666667,0.303,0.135875,0.21937500000000001,0.34170833333333334,8.308333333333334,55,8408.3,2014-01-01,2014,1,1,2,1
0.39537500000000003,3.241,0.6592083333333333,0.8369583333333334,553.9291666666667,2.9134999999999995,0.28108333333333335,0.16237500000000002,0.221,0.3356666666666667,8.208333333333334,74,11334.1,2014-01-02,2014,1,2,3,2
0.42004166666666665,3.8205833333333334,0.7143333333333333,0.8233333333333333,566.8416666666667,3.0384166666666665,0.3150833333333333,0.1895416666666667,0.14408333333333334,0.3514583333333334,7.741666666666667,71,11121.5,2014-01-03,2014,1,3,4,3
0.39749999999999996,3.5556249999999996,0.7114166666666667,0.8307916666666667,569.4583333333334,2.8926250000000002,0.279625,0.168875,0.20445833333333333,0.347375,7.583333333333333,56,9193.1,2014-01-04,2014,1,4,5,4
0.408,4.062208333333333,0.7516666666666666,0.821875,572.6,3.0232083333333333,0.3100833333333333,0.10875,0.22258333333333333,0.3586666666666667,8.558333333333334,60,8636.2,2014-01-05,2014,1,5,6,5
0.3927083333333334,3.810541666666667,0.7054583333333334,0.825625,584.2583333333333,2.985333333333333,0.2775416666666667,0.148875,0.20979166666666668,0.36391666666666667,7.7625,70,11287.2,2014-01-06,2014,1,6,0,6
0.41287500000000005,3.5353333333333334,0.69125,0.8298333333333333,578.6291666666667,2.9154583333333335,0.30204166666666665,0.14225000000000002,0.236375,0.319125,6.995833333333334,67,10700.7,2014-01-07,2014,1,7,1,7
0.3942083333333333,4.218833333333333,0.7324166666666666,0.813625,573.4625,3.1574166666666668,0.247,0.145,0.2618333333333333,0.346125,9.15,73,11149.4,2014-01-08,2014,1,8,2,8
0.413375,3.84625,0.7095833333333333,0.82425,584.5375,3.0822083333333334,0.3263333333333333,0.16020833333333334,0.17833333333333334,0.3350416666666667,8.516666666666667,64,10395.2,2014-01-09,2014,1,9,3,9
0.37633333333333335,3.6327499999999997,0.6978749999999999,0.8336250000000001,562.375,3.0984166666666666,0.21504166666666666,0.15391666666666667,0.23491666666666666,0.39595833333333336,8.5375,61,9690.8,2014-01-10,2014,1,10,4,10
0.37120833333333336,3.6471250000000004,0.6900833333333334,0.8307083333333334,577.4333333333333,3.014958333333333,0.2866666666666667,0.15375,0.166625,0.39287500000000003,7.879166666666666,66,10541.2,2014-01-11,2014,1,11,5,11
0.3765416666666667,4.186875,0.7587916666666666,0.8122916666666667,579.75,3.125541666666667,0.30454166666666665,0.20262499999999997,0.151,0.34191666666666665,8.795833333333333,70,11066.4,2014-01-12,2014,1,12,6,12
0.3842916666666667,3.969333333333333,0.7383333333333333,0.8130833333333333,578.2624999999999,3.060833333333333,0.27187500000000003,0.19841666666666669,0.18466666666666667,0.34475000000000006,8.104166666666666,82,12977.7,2014-01-13,2014,1,13,0,13
0.38833333333333336,4.361083333333333,0.7489166666666667,0.80925,593.9041666666667,3.1537916666666668,0.22775,0.18120833333333333,0.24333333333333332,0.34770833333333334,7.958333333333333,79,13453.7,2014-01-14,2014,1,14,1,14
